# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Lily Hampton and Eliza Kennedy (Keewong): The burba (initiation ceremonies)". Donaldson (1977), p. 361 makes the following remarks about the text: "The narrators recall memories of the last burba which took place in Waga:ybuwan country, at giranhanga (West McDonalds Tank) in 1912. Speakers who contriouted texts or recorded songs were in their teens at that time, [...]"
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	gadurlugal ya:ynjdjibu gurimiyi
<segmentation>	gadur=lu-gal ya:ynjdjibu guri-miyi
<glossing>	windbreak+ABS=3ERG-PL around lie-CAUS+PAST
<translation> They laid a windbreak around .

<line_2>	gira:nhdhi miyi gadur babir gadur
<segmentation>	gira:nh-dhi miyi gadur / babir gadur
<glossing>	leaf-CIRC make+PAST windbreak+ABS big+ABS windbreak+ABS
<translation> They made a windbreak out of leaves , a big windbreak .

<line_3>	bunda:yŋgunu: ŋagu ya:ylugal gadur miyi
<segmentation>	bunda:yŋ-gu=nu: / ŋagu / ya:y=lu-gal gadur miyi
<glossing>	knee-DAT=2OBL there+DAT thus=3ERG-PL windbreak+ABS make+PAST
<translation> Up to your knee , up to there , that's how they made the windbreak .

<line_4>	ŋaguna ya:la: gurimiyi
<segmentation>	ŋagu=na ya:la: guri-miyi
<glossing>	there+DAT=3ABS thus+EST lie-CAUS+PAST
<translation> Up to there , that's just how they laid it .

<line_5>	guɽunhinaŋgal gadila: ŋawugagalay wagadhunmagirigu
<segmentation>	guɽu-nhi=naŋ-gal gadi-la: / ŋawu-ga-galay / waga-dhunma-giri-gu
<glossing>	enter-PAST=3ABS-PL there+CIRC-EST night-LOC-ONLY dance-GROUP-PURP-DAT
<translation> They went inside that windbreak , at night only , to corroboree together .

<line_6>	ŋinila:naŋgal wagadhunmaŋilanha
<segmentation>	ŋini-la:=naŋ-gal waga-dhunma-ŋila-nha
<glossing>	here+LOC-EST=3ABS-PL dance-GROUP-CONT-PRES
<translation> This is where they generally corroboree together .

<line_7>	manhaŋgunaŋgal ŋimadjilinji
<segmentation>	manhaŋ-gu=naŋ-gal ŋima-djili-nji
<glossing>	paint-INST=3ABS-PL paint-REFL-PAST
<translation>	They painted themselves with white paint .

<line_8>	yadamanaŋgal mayiminjila
<segmentation>	yadama=naŋ-gal mayimi-nji-la
<glossing>	good+ABS=3ABS-PL look-PAST-THEN
<translation>	They looked good then .

<line_9>	ŋuluŋgiyarilugal muwaŋgalga: waɽaymiyi gila:ŋgu muwa budja:ngu muwa
<segmentation>	ŋuluŋgiyari=lu-gal muwaŋ-galga: waɽa-y-miyi / gila:ŋ-gu muwa / budja:n-gu muwa
<glossing>	headband+CIRC=3ERG-PL feather-PL+DIM+ABS stand-CM-CAUS+PAST galah-DAT feather+ABS wee juggler-DAT feather+ABS
<translation>	They stuck lots of little feathers in their headbands , galah feathers , wee juggler feathers . 

<line_10>	dhu:rgalaŋga wa:ruy wambanhi waganha:ranaŋgal
<segmentation>	dhu:rgalaŋ-ga wa:ruy wamba-nhi / waga-nha:ra=naŋ-gal
<glossing>	man-LOC apron+ABS be on-PAST dance-CIRCUM=3ABS-PL
<translation>	The men wore aprons when they were corroboreeing . 

<line_11>	ŋuba:ngalaydja:ŋgu gudhiluguŋgal wagaymi:liwa:giyi
<segmentation>	ŋuba:n-galaydja:ŋ-gu gudhi=luguŋ-gal wagaymi:li-wa:giyi
<glossing>	spouse-RECIP PL-ERG song=3GEN-PL sing+ULT FOCUS-DUR+PAST
<translation>	A married couple used to sing their song for ( them ) . 

<line_12>	ga:riga:ŋgulugu wagaymiyi
<segmentation>	ga:riga:ŋ-gu=lugu wagaymiyi
<glossing>	husband-ERG=3GEN sing+PAST
<translation>	Her husband sang . 

<line_13>	gudhiga yanmiyi balga:ŋgulugu
<segmentation>	gudhi-ga yanmiyi / balga:ŋ-gu=lugu
<glossing>	song-LOC join+PAST boomerang-INST=3GEW
<translation>	( He ) kept up with the song , with his boomerang . 

<line_14>	winarulugu burbiyi
<segmentation>	winar-u=lugu burbi-yi
<glossing>	woman+ERG=3GEN beat time-PAST
<translation>	His woman beat time . <1> 
<footnote_1>	Time was kept by gently thumping a small burbil or " pillow " of crumpled rag . Informants do not know what the pillow was made of before rag was available . Women sang and " beat their rugs " according to Mathews ( 1897 : 128 ) .

<line_15>	ya:la:naŋgal wagawa:giyi
<segmentation>	ya:la:=naŋ-gal waga-wa:giyi
<glossing>	thus+EST=3ABS-PL dance-DUR+PAST
<translation>	That's how they used to corroboree . 

<line_16>	buyugalugal gira: mawiri bandiyi
<segmentation>	buyu-ga=lu-gal gira: mawiri bandiyi
<glossing>	shin-LOC=3ERG-PL leaf-ABS string-CIRC tie+PAST
<translation>	They tied leaves around their shins with string . 

<line_17>	yilgiyilgirbamiyi yama
<segmentation>	yilgi-yilgir-ba-miyi / yama
<glossing>	REDUP-RUSTLE-VBLSR-CAUS+PAST DUBIT
<translation>	( They ) made a rustling sound , didn't they ? 

<line_18>	bulagarmagu: gabada:ganaŋgal wagawa:giyi
<segmentation>	bulagar-magu: gabada:-ga=naŋ-gal waga-wa:giyi
<glossing>	two-one month-LOC=3ABS-PL dance-DUR+PAST
<translation>	They used to corroboree for three months . 

<line_19>	widjuga:naŋgal giyila
<segmentation>	widju-ga:=naŋ-gal giyi-la
<glossing>	how-IGNOR=3ABS-PL be+PAST-THEN
<translation>	Then I wonder what happened to them ? ( the boys to be initiated ) 

<line_20>	wandaŋgunaŋgal ga:nhilaga
<segmentation>	wandaŋ-gu=naŋ-gal ga:nhi-laga
<glossing>	wanda-ERG=3ABS-PL take-PAST-THEN
<translation>	The wanda <2> took them then . 
<footnote_2>	See introduction to Text 2 .

<line_21>	dhu:rgalaŋgu ŋuraŋgiyaluluguŋgal bura:ygalga:luguŋgal gira:ŋgu guɽugaymiyila
<segmentation>	dhu:rgalaŋ-gu ŋuraŋ-giyalu=luguŋ-gal bura:y-galga:=luguŋ-gal gira:ŋ-gu guɽuga-y-miyi-la
<glossing>	man-ERG camp-BELONGING=3GEN-PL child-PL+DIM=3GEN-PL leaf-INST be inside-CM-CAUS+PAST-THEN
<translation>	The men covered over their " housewives " and little children with leaves . 

<line_22>	waŋa:yndugal ŋa:yaga
<segmentation>	waŋa:y=ndu-gal ŋa:-y-aga
<glossing>	NEG=2NOM-PL look-CM-IRR
<translation>	" You won't look ! " 

<line_23>	waŋa:yndugal wabalaga
<segmentation>	waŋa:y=ndu-gal waba-l-aga
<glossing>	peep-CM-IRR
<translation>	" You won't peep ! " 

<line_24>	ya:y ŋiyaniŋgi:na ŋiyiyi
<segmentation>	ya:y ŋiyaniŋgi:-na ŋiyiyi
<glossing>	thus us+PL+OBL-EXC speak-PAST
<translation>	That's how ( they ) spoke to us . 

<line_25>	wandaŋgubaɽanu:ŋgal bumalaga ŋa:nha:ranu:lu
<segmentation>	wandaŋ-gu-baɽa=nu:ŋ-gal buma-l-aga / ŋa:-nha:ra=nu:=lu
<glossing>	wanda-ERG-CATEG ASSERT=2OBL-PL hit-CM-IRR see-CIRCUM=2OBL-3ERG
<translation>	" A wanda will be sure to kill you if he sees you . "

<line_26>	bubugalga:ŋgunaŋgal ga:nhila dharibunmiyi
<segmentation>	bubu-galga:ŋ-gu=naŋ-gal ga:-nhi-la dhari-bunmiyi
<glossing>	bubu-PL+DIM-ERG=3ABS-PL take-PAST-THEN disappear-cause+PAST
<translation>	The little bubu <3> took them then , making ( them ) disappear .
<footnote_3>	See 2.12.3

<line_27>	mu:mbaɽayŋgula:ynaŋgal ya:lbiya ŋinagala: wandaŋgalga:
<segmentation>	mu:mbaɽayŋ-gula:y=naŋ-gal ya:lbi-ya / ŋina-gala: wandaŋ-galga:
<glossing>	bullfrog-LIKE=3ABS-PL croak-PRES this+ABS-PL+EST wanda-PL+DIM
<translation>	They croak like bullfrogs , these little wanda .

<line_28>	dhuga bulawa wiliwilimiyi bubugalga:ŋgu
<segmentation>	dhuga bulawa wili-wilimiyi bubu-galga:ŋ-gu <4>
<glossing>	sugar+ABS flour+ABS REDUP-scatter+PAST bubu-PL+DIM-ERG
<translation>	The little bubu scattered the sugar and tea .
<footnote_4>	The mother of one of the women then in their teens had provocatively boasted of killing a bat . In the mythology , the bat was responsible for making men's genitals . bubu punished this transgression by scattering her provisions although " it was starving times " , dhiyal , ' owlet nightjar ' was responsible for making women's genitals , and the women would be likewise angered if a man harmed a nightjar . But no powers intervened in their interests , as bubu did for the men . Mathews mentions similar disciplinary destruction taking place in initiation ceremonies he witnessed , including those of the neighbouring Wiradjuri ( Mathews 1897 : 133 ) . Two late nineteenth century Wembawemba songs , an admiring song about the bat and a derogatory one about the owlet nightjar , reflect the same tradition ( Hercus 1969 : 91 - 3 ) . The tradition appears to have been general among the " Kulin " people to the south west of the Waŋa:ybuwan and Wiradjuri as well as widespread in New South Wales . Hercus ( loc . cit. ) cites its mention by Howitt , who speaks of the " sex totems " of the Wotjo nation , i . e . the N . W . Kulin people ( Howitt 1904 : 144 - 5 ) .

<line_29>	munjbunaŋgal yiramuruŋgala:n dharidjunmanhila
<segmentation>	munjbu-naŋ-gal yiramuruŋ-gala:n dhari-djunma-nhi-la
<glossing>	suddenly=3ABS-PL novice-PL+AUG+ABS disappear-GROUP-PAST-THEN
<translation>	Then suddenly the big boys to be initiated all disappeared together .

<line_30>	waŋa:y ŋiyanuna ŋa:ya:linjila
<segmentation>	waŋa:y ŋiyanu-na ŋa:-y-a:li-nji-la
<glossing>	NEG we all-EXCL see-CM-AGAIN-PAST-THEN
<translation>	We didn't see them again then .

<line_31>	guwayubaɽanaŋgal dharinji
<segmentation>	guwayu-baɽa=naŋ-gal dhari-nji
<glossing>	for a long time-CATEG ASSERT=3ABS-PL disappear-PAST
<translation>	They were away for a long time alright .

<line_32>	burbinjdjalaba:naŋgal yananha maduga dhuniga
<segmentation>	burbinj-djalaba:=naŋ-gal yana-nha <5> madu-ga dhuni-ga
<glossing>	belly-PRIV+ABS=3ABS-PL go-PRES many-LOC sun-LOC
<translation>	They go for many days without ( filling their ) bellies .
<footnote_5>	Notice the use of the present tense here and at T1.33 . People reminiscing often ignore the breakdown of their traditions . When searching for forgotten vocabulary they ask one another not " How did they say that ? " , but " How do they say that ? "

<line_33>	waŋa:y dhaɽalaŋa
<segmentation>	waŋa:y dha-ɽa-laŋa
<glossing>	NEG eat-PRES-THEN
<translation>	( They ) don't eat then .

<line_34>	ya:la: wi:guwanhi yuwandhalaba:
<segmentation>	ya:la: wi:-guwa-nhi yuwan-dhalaba:
<glossing>	thus+EST sit-PITY-PAST (non-meat) food-PRIV+ABS
<translation>	( They ) stayed like that , poor things , without food .

<line_35>	yanabunanhilaŋa
<segmentation>	yana-buna-nhi-laŋa
<glossing>	go-BACK-PAST-THEN
<translation>	After that ( they ) came back .

<line_36>	ga:mbunanhinaŋgal mayiŋgirbaŋgu gana:ga
<segmentation>	ga:m-buna-nhi=naŋ-gal mayiŋ-girbaŋ-gu gana:-ga
<glossing>	carry-BACK-PAST=3ABS-PL person-PARTY-ERG shoulder-LOC
<translation>	A lot of people brought them back on ( their ) shoulders . 

<line_37>	nhuru bilmadhunmanhi
<segmentation>	nhuru bilma-dhunma-nhi
<glossing>	arm/wing+ABS spread-INTR+GROUP-PAST
<translation>	( Their ) arms were all spread out ( like ) wings .

<line_38>	dhu:rgalaŋgunaŋgal gana:biyi gadhalgu
<segmentation>	dhu:rgalaŋ-gu=naŋ-gal gana:-biyi gadhal-gu <6>
<glossing>	man-ERG=3ABS-PL shoulder-VBLSR+PAST novices' shed-DAT
<translation>	Then the men carried them on their shoulders to the novices' shed .
<footnote_6>	gadhal was a specially built shed , higher than the heads of the novices being carried on the men's shoulders .

<line_39>	gadhalilugalnaŋgal guɽugiyila
<segmentation>	gadhal-i=lu-gal=naŋ-gal guɽugiyi-la
<glossing>	shed-CIRC=3ERG-PL=3ABS-PL put inside+PAST-THEN
<translation>	Then they put them inside the shed .

<line_40>	guni:ŋguluguŋgal yuwan ga:nhi
<segmentation>	guni:ŋ-gu=luguŋ-gal yuwan ga:-nhi
<glossing>	mother-ERG=3GEN-PL (non-meat) food+ABS carry-PAST
<translation>	Their mothers brought food .

<line_41>	winarunaŋgal balga: wananhila
<segmentation>	winar-u=naŋ-gal balga: wana-nhi-la
<glossing>	woman-ERG=3ABS-PL boomerang+ABS throw-PAST-THEN
<translation>	Then the women threw them boomerangs ( before they would eat ) .

<line_42>	ŋaniŋurana gadhalaluguŋgal dhuwanhila balga:
<segmentation>	ŋani-ŋur-a=na gadhal-a=luguŋ-gal dhuwa-nhi-la / balga:
<glossing>	there+LOC-SIDE-LOC=3ABS shed-LOC=3GEN-PL fall-PAST-THEN boomerang+ABS
<translation>	It fell on the far side of their shed , the boomerang .

<line_43>	bara:ynaŋgal wi:nja:ninji
<segmentation>	bara:y=naŋ-gal wi:-nja:ni-nji
<glossing>	quick+ABS=3ABS-PL sit-ADOPT POSI-PAST
<translation>	Quickly they sat down .

<line_44>	waŋa:yŋiyanunanaŋgal dhi:rbanhi
<segmentation>	waŋa:y=ŋiyanu-na=naŋ-gal dhi:rba-nhi
<glossing>	NEG=we+PL-EXC=3ABS-PL know-PAST
<translation>	We didn't recognise them .

<line_45>	manhaŋgunaŋgal ŋimanhi
<segmentation>	manhaŋ-gu=naŋ-gal ŋima-nhi <7>
<glossing>	white paint-INST=3ABS-PL paint-INTR+PAST
<translation>	They were painted with white paint .
<footnote_7>	After this the women went towards the novices , each carrying a spear with a bunch of feathers on the end , the crest and wings of a wee juggler . The novices were supposed to run away at their approach , thereby acquiring strength . Some whom Lily Hampton saw failed to run through ignorance , and were severely admonished . After this the novices remained hidden for a period of many months , living in a separate camp with a windbreak and leaf mattresses about half a mile away from the main camp . The women " carted tucker " when they were absent during the day . When the novices eventually rejoined the main camp " you wouldn't recognise them " . They had changed from boys into men .

<line_46>	manabinji ŋiyanuna
<segmentation>	manabi-nji ŋiyanu-na <8>
<glossing>	hunt-PAST we+PL-EXC
<translation>	We were hunting ( i . e . the two narrators and a third sister ) .
<footnote_8>	ŋiyanu-na , i . e . the three sisters , Liza, Lily and Lizzie , surprised a couple of novices drinking at a tank during the period when they were supposed not to be seen . The remainder of the text is devoted to this incident .

<line_47>	ŋiyanuna yanawanhila gaɽaŋgu gali ŋa:ɽuŋgirigu
<segmentation>	ŋiyanu-na yana-wa-nhi-la gaɽaŋ-gu / gali ŋa:ɽuŋ-giri-gu
<glossing>	we+PL-EXC go-MOVING-PAST-THEN tank-DAT water+ABS drink-PURP-DAT
<translation>	Then we were walking along towards a tank to drink water .

<line_48>	miridji: bibuwawanhi muruga
<segmentation>	miri=dji: bibuwa-wa-nhi muru-ga
<glossing>	dog+ABS=1OBL run-MOVING-PAST road-LOC
<translation>	My dog ran along ahead .

<line_49>	bulagar ŋinila: mayiŋgu ga: ŋa:ɽuŋilanhi
<segmentation>	bulagar ŋini-la: mayiŋ-gu ga: ŋa:ɽu-ŋila-nhi
<glossing>	two here+LOC-EST person-ERG drink-CONT-PAST
<translation>	Two people ( i . e . novices ) were drinking at this place as they usually did .

<line_50>	ŋa:nhilalubula: ŋaluynja
<segmentation>	ŋa:-nhi-la-lu-bula: ŋalu-ynja
<glossing>	look-PAST-THEN=3ERG-DU that+INST-UP
<translation>	Then the two of them looked up .

<line_51>	ŋa:nhilubula:na dha:y wagabana:ra
<segmentation>	ŋa:-nhi=lu-bula:=na dha:y wagaba-na:ra
<glossing>	see-PAST=3ERG-DU=3ABS hither run-CM+CIRCUM
<translation>	They saw it running towards them .

<line_52>	gira:lubula: warumiyila
<segmentation>	gira:=lu-bula: warumiyi-la
<glossing>	leaf+ABS=3ERG-DU pick up-THEN
<translation>	Then they picked up leaves .

<line_53>	balaŋga mi:miyi waŋa:ydjan ŋiyanuna ŋa:giri
<segmentation>	balaŋ-ga mi:miyi / waŋa:y-djan ŋiyanu-na ŋa:-giri
<glossing>	head-LOC hold+PAST NEG-LING EVID we+PL-EXC see-PURP
<translation>	( They ) held ( them ) against ( their ) heads , so that we shouldn't see ( them ) .

<line_54>	balanambula: guɽugaymadjilinji
<segmentation>	bala=nam-bula: guɽuga-y-ma-djili-nji
<glossing>	head+ABS=3ABS-DU be inside-CM-CAUS-REFL-PAST
<translation>	Each covered his head with leaves .

