# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2003
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis-CDI/Han/WG/0_11_15.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
bunny .
butterfly .
duck .
fish .
frog .
horse .
monkey .
mouse .
car .
bubbles .
toy .
banana .
chicken .
cracker .
drink .
water .
diaper .
necklace .
shirt .
shoe .
eye .
tummy .
bottle .
trash .
home .
house .
outside .
baby .
grandma .
grandpa .
child own name .
bath .
breakfast .
bye or bye bye .
dinner .
don't .
hi .
nap .
night night .
no .
peekaboo .
thank you .
cry .
drink .
eat .
hug .
kiss .
look .
love .
play .
read .
sleep .
stop .
throw .
walk .
bad .
careful .
dirty .
hot .
yucky .
down .
out .
more .
cat .
dog .
kitty .
daddy .
mommy .
please .
ball 
