# language_name_wals:	Gooniyandi
# language_name_glotto:	Gooniyandi
# iso639_3:	gni
# year_composed:	1982
# year_published:	1984
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	vowel length is indicated by ":", and "..." indicates a pause. Up and down arrows, as well as so-called en dashes (↑↓–) are used for rising, falling and level tones respectively.
# short_description:	Citing from McGregor (1984), p. 480: "Text 3 is a short humorous story about pumping water for a thirsty bull in the early days. The speaker is Mervin Street, perhaps the youngest fluent speaker of the language. This story was recorded in 1982."
# source:	McGregor, William B. (1984). A Grammar of Kuniyanti: An Australian Aboriginal language of Southern Kimberley, Western Australia. PhD thesis submitted to the University of Sydney.
# copyright_short:	Copyright and use of this thesis must be used in accordance with the provisions of the Copyright Act 1968.
# copyright_long:	Reproduction of material protected by copyright may be an infringement of copyright and copyright owners may be entitled to take legal action against persons who infringe their copyright. Section 51 (2) of the Copyright Act permits an authorized officer of a university library or archives to provide a copy (by communication or otherwise) of an unpublished thesis kept in the library or archives, to a person who satisfies the authorized officer that he or she requires the reproduction for the purposes of research or study. The Copyright Act grants the creator of a work a number of moral rights, specifically the right of attribution, the right against false attribution and the right of integrity. You may infringe the author’s moral rights if you: - fail to acknowledge the author of this thesis if you quote sections from the work; - attribute this thesis to another author;  subject this thesis to derogatory treatment which may prejudice the author’s reputation. For further information contact the University’s Copyright Service. sydney.edu.au/copyright
# sample_type:	whole
# comments:	Citing from McGregor (1984), p. 471: "The texts are divided into tone units, indicated by slashes, and sentences, which correspond to the numbered lines." Underlining is used in the original texts for stressed syllables, this is not provided here. In glosses, white spaces are removed between stems and morphological markers, in order to get the word-to-gloss alignments which in the original texts are provided by tabs, e.g. "that -ABL" is given as "that-ABL" here. Additionally, a white space is replaced by a dot if two separate glosses refer to the same orthographic word in the Goonyiandi text, e.g. "jijakji" corresponds to "he said" coded as "he.said". Note that, unfortunately, the glosses are often incomplete in the sense that a word which has been glossed before is left unglossed when it appears again, e.g. "niyinhingi" in sentence (3). In such cases, we add an underscore "_" to the glossed line to indicate that there is a gloss missing.

<line_1>	niyinhingi ngirntaji thangarnti↑ / julang jijakji↓ / ngarrakinhingi↑ /
<glossing>	that-ABL this word [name] he.said my-ABL
<translation>	Now that Frank has told his story , it's my turn .

<line_2>	papirri ngirnta pirnpurniya↓ / paajathngarna wumparra↓ / warangpirri↓ / pampimpirra kampa↓ / purlumaniyu↓ /
<glossing>	below this [name]-LOC [name] [name] they.sat they.pumped.it water bullock-DAT
<translation>	Below here at Pirnpurni ,Paajathngarna and Wumparra were living , pumping water for bullocks .

<line_3>	niyinhingi↑ / yuwarni nyirraji wartji kampayu↓ /
<glossing>	_ one bull he.went water-DAT
<translation>	Then a bull came up for water .

<line_4>	yuwarningka↑ / kampa pampimnga↓ /
<glossing>	_ _ _
<translation>	One of them was pumping water .

<line_5>	pampimnga: niyaji nyirraji warayi↑ /
<glossing>	_ this bull he.stood
<translation>	He pumped , while the bull stood there ( drinking ) .

<line_6>	well ... ngirntajingka↑ / pampimkilanga kampa↓ /
<glossing>	_ this-ERG it's.a.fact.he.was.pumping.it _
<translation>	This one was really pumping water .

<line_7>	warami warami warami niyaji nyirraji- /
<glossing>	he.stood _ _ _ _
<translation>	It stood and stood and stood , the bull .
<comment>	This is the only instance in the entire corpus of wara- with a Classifier other than -I .

<line_8>	ngirntaji↑ / ngunyunhingi nyirraji ngirntaji↑ / juwurlu nyamani↓ / wartji↓ /
<glossing>	this something-ABL _ _ stomach big he.went
<translation>	" Where did this bull come from , with the big stomach ? "

<line_9>	ngirnta pitawayi↓ / wayarrmi↓ / pampimnhingi kampa↓ /
<glossing>	this he.was.getting.stiff (he.left.off?) pump-ABL water
<translation>	He was getting stiff ( and left off ? ) from pumping water .
<comment>	The meaning of wayarrmi is uncertain . On playing back this tape , I was informed that it meant ' arm ' ( it is not however among the terms I have elicited for ' arm ' ) . The most likely possibility ( both semantically and formally ) seems to me to be that it is a careful , or dialectal , variant of the verb warr- ' leave off , forget ' . )

<line_10>	paaminhi- / yanyayu↓ / nginyjingka now↓ / pampimjawa ngirntajiyu nyirrajiyu↓ /
<glossing>	he.called-to.him other-DAT you-ERG _ you.can.pump.it this-DAT bull-DAT
<translation>	He called out to the other one " You now , you cam pump water for this bull . "

<line_11>	well niyingka↑ / mikaminhi↓ / nginyjingka nyirraji↑ / thangarnti kartpuwu↓ / juwurlu nyamani niyaji nyirraji↓ /
<glossing>	_ he-ERG he.told-to.him you-ERG _ mouth you'll.hit.it stomach big _ _
<translation>	Well , he said " ( Why don't ) you hit the bull in the mouth ! It's got a big stomach . "

<line_12>	katpiyawani↑ / yapjayu↓ / purlumaniyu↓ /
<glossing>	it.will.leave some-DAT bullock-DAT
<translation>	" Let it leave some for the other cattle . "

<line_13>	well niyinhingi wila / thangarnti ngarraki↓ /
<glossing>	_ that-ABL _ word my
<translation>	Well that's all of my story .
